index,Model,Ndomains,C02,A07,A05,B03,C05,Internal,External,diff(int-ext),All,Nlayers,Nnodes
A05+B03+C02+C05,ERM 20 layers 128 nodes,4,0.8190053638453267,0.7278867433245525,0.7823978886366562,0.8389129696949483,0.7947794340822818,0.8087739140648033,0.7278867433245525,0.08088717074025081,0.7925964799167532,20.0,128.0
A05+B03+C02+C05,ERM 20 layers 32 nodes,4,0.8170674883089939,0.7291209542006392,0.7809499963581634,0.8389732445641946,0.7914845010383685,0.8071188075674302,0.7291209542006392,0.077997853366791,0.7915192368940719,20.0,32.0
A05+B03+C02+C05,ERM 20 layers 64 nodes,4,0.8190622242565387,0.7308790134280151,0.7838193837267449,0.8402655910875098,0.7912156356487947,0.808590708679897,0.7308790134280151,0.07771169525188192,0.7930483696295206,20.0,64.0
A05+B03+C02+C05,ERM 5 layers 128 nodes,4,0.8207439894383152,0.7287795621794523,0.7835318452877231,0.8406107600112112,0.793925392284738,0.8097029967554968,0.7287795621794523,0.08092343457604459,0.7935183098402879,5.0,128.0
A05+B03+C02+C05,ERM 5 layers 32 nodes,4,0.8188408722155291,0.7311268827269927,0.7818185106662678,0.8397014435913146,0.7919761859708674,0.8080842531109947,0.7311268827269927,0.07695737038400213,0.7926927790341944,5.0,32.0
A05+B03+C02+C05,ERM 5 layers 64 nodes,4,0.8208009708236295,0.7311222517203466,0.7838189965058955,0.8401482165032597,0.7938964281172824,0.8096661529875169,0.7311222517203466,0.07854390126717022,0.7939573727340827,5.0,64.0
A05+B03+C05,ERM 10 layers 128 nodes,3,0.7601021288342332,0.7154983073594541,0.7850004881923619,0.8406555684397817,0.7943811370269176,0.8066790645530204,0.7378002180968437,0.06887884645617673,0.7791275259705497,10.0,128.0
A05+B03+C05,ERM 10 layers 32 nodes,3,0.7579559776532849,0.7147817676201995,0.7830077173605419,0.8394623945571167,0.7931906343345414,0.8052202487507334,0.7363688726367423,0.06885137611399106,0.777679698305137,10.0,32.0
A05+B03+C05,ERM 10 layers 64 nodes,3,0.7563627612093484,0.7103894120563841,0.7832285533321237,0.8405450245588847,0.7943632759509376,0.8060456179473153,0.7333760866328662,0.07266953131444913,0.7769778054215357,10.0,64.0
A05+B03+C05,ERM 20 layers 128 nodes,3,0.755088234893994,0.7115378141115456,0.7832073983297743,0.8399301058631105,0.7949835505115854,0.8060403515681568,0.7333130245027697,0.07272732706538695,0.776949420742002,20.0,128.0
A05+B03+C05,ERM 20 layers 32 nodes,3,0.7504812259386385,0.7127069585825768,0.7820656678525427,0.8383583144981277,0.7927354931129031,0.8043864918211912,0.7315940922606077,0.07279239956058345,0.7752695319969578,20.0,32.0
A05+B03+C05,ERM 20 layers 64 nodes,3,0.7550518849745516,0.7135068964295929,0.783182145648564,0.8396759580277013,0.7938359977620832,0.8055647004794496,0.7342793907020722,0.07128530977737732,0.7770505765684986,20.0,64.0
A05+B03+C05,ERM 5 layers 128 nodes,3,0.7572648216092638,0.7064362385410197,0.7838652473405034,0.8400451476423034,0.7946728121199839,0.806194402367597,0.7318505300751417,0.07434387229245522,0.7764568534506149,5.0,128.0
A05+B03+C05,ERM 5 layers 32 nodes,3,0.7593266762274954,0.7133889314371087,0.7837723020828462,0.8401684944728058,0.7925366999516076,0.8054924988357532,0.7363578038323021,0.06913469500345118,0.7778386208343727,5.0,32.0
A05+B03+C05,ERM 5 layers 64 nodes,3,0.759033841407343,0.710338924182119,0.7849731842209563,0.8406683439111798,0.7945269179557553,0.8067228153626305,0.734686382794731,0.07203643256789947,0.7779082423354706,5.0,64.0
A05+C02,ERM 10 layers 128 nodes,2,0.8222629445733688,0.6834995329005221,0.7849243502801764,0.8199682664605359,0.7123067764539195,0.8035936474267725,0.7385915252716593,0.0650021221551133,0.7645923741337045,10.0,128.0
A05+C02,ERM 10 layers 32 nodes,2,0.8239939810863663,0.6863775473868897,0.7830592716503265,0.8206143805019188,0.7122286078951859,0.8035266263683465,0.7397401785946649,0.0637864477736816,0.7652547577041375,10.0,32.0
A05+C02,ERM 10 layers 64 nodes,2,0.8239169029321023,0.6879349442584467,0.7860101910645702,0.8210364997766686,0.7154232649772235,0.804963546998336,0.7414649030041129,0.06349864399422327,0.7668643606018022,10.0,64.0
A05+C02,ERM 20 layers 128 nodes,2,0.8227591824940399,0.6838256894430186,0.7823845417711796,0.8195200154105369,0.7111055513337226,0.8025718621326098,0.7381504187290926,0.0644214434035171,0.7639189960904995,20.0,128.0
A05+C02,ERM 20 layers 32 nodes,2,0.8208062420225974,0.69288824383164,0.7827239555501835,0.8196496793861708,0.7125544788716975,0.8017650987863905,0.7416974673631695,0.060067631423220955,0.7657245199324578,20.0,32.0
A05+C02,ERM 20 layers 64 nodes,2,0.8229756374517223,0.6893205178348978,0.7843384140629986,0.8203746284046209,0.7115277302148981,0.8036570257573604,0.7404076254848055,0.06324940027255488,0.7657073855938276,20.0,64.0
A05+C02,ERM 5 layers 128 nodes,2,0.8226442962734122,0.683283795018545,0.7839207718693758,0.8224315598392924,0.7035781190965512,0.8032825340713939,0.7364311579847962,0.0668513760865978,0.7631717084194353,5.0,128.0
A05+C02,ERM 5 layers 32 nodes,2,0.8223761259632294,0.6742220784765207,0.7841471514710913,0.8194557353556788,0.6989020515795398,0.8032616387171603,0.7308599551372464,0.07240168357991386,0.759820628569212,5.0,32.0
A05+C02,ERM 5 layers 64 nodes,2,0.8236459299834614,0.687186533977155,0.7858358828640266,0.8219800208796475,0.7125988514847497,0.8047409064237441,0.7405884687805174,0.06415243764322663,0.766249443837808,5.0,64.0
A05+C02+C05,ERM 10 layers 128 nodes,3,0.8194267751937824,0.729133272449814,0.7808961064894587,0.8155295893865139,0.7950051025794588,0.7984426614209,0.7723314309181639,0.026111230502736026,0.7879981692198056,10.0,128.0
A05+C02+C05,ERM 10 layers 32 nodes,3,0.8192805433347317,0.7288920735522677,0.7792281649349071,0.8156255518145187,0.7916458831538937,0.7967181971411775,0.7722588126833931,0.024459384457784318,0.7869344433580638,10.0,32.0
A05+C02+C05,ERM 10 layers 64 nodes,3,0.8208833843232718,0.7328549908427175,0.7812423726070363,0.8164478722297466,0.7932397399460103,0.7984551656254395,0.7746514315362321,0.023803734089207385,0.7889336719897565,10.0,64.0
A05+C02+C05,ERM 20 layers 128 nodes,3,0.8182703613621287,0.7300984107954249,0.7786569529130625,0.8138591190410901,0.79399563918463,0.7969743178199404,0.7719787649182576,0.02499555290168286,0.7869760966592672,20.0,128.0
A05+C02+C05,ERM 20 layers 32 nodes,3,0.8154992898260522,0.7287487179994965,0.7804574416347896,0.8147226823505959,0.7921681994642858,0.7960416436417092,0.7717357001750462,0.024305943466662983,0.786319266255044,20.0,32.0
A05+C02+C05,ERM 20 layers 64 nodes,3,0.8182115175783551,0.7291568159391937,0.7820695229056817,0.8152901338643513,0.7946771222926322,0.798319387592223,0.7722234749017725,0.02609591269045053,0.7878810225160428,20.0,64.0
A05+C02+C05,ERM 5 layers 128 nodes,3,0.8180251391073025,0.728482395129217,0.7811389086665613,0.8167970652895473,0.7934188747206519,0.7975276408315052,0.7726397302093821,0.024887910622123068,0.7875724765826561,5.0,128.0
A05+C02+C05,ERM 5 layers 32 nodes,3,0.8195277993321197,0.7342281338223818,0.7809960609346414,0.8175750008196087,0.792340894277223,0.7976215848479946,0.7759015673209952,0.02172001752699948,0.7889335778371949,5.0,32.0
A05+C02+C05,ERM 5 layers 64 nodes,3,0.819360612692069,0.7317566996308524,0.7818498534981777,0.8162149858942044,0.793622296077396,0.7982775874225475,0.7739858427625284,0.02429174466001919,0.7885608895585399,5.0,64.0
A05+C05,ERM 10 layers 128 nodes,2,0.7108134462241271,0.7021256929848247,0.7819489354710669,0.7995219341474337,0.7936032038676969,0.787776069669382,0.7374870244521284,0.05028904521725345,0.7576026425390299,10.0,128.0
A05+C05,ERM 10 layers 32 nodes,2,0.6865716675552451,0.7006839570276097,0.7791868548422751,0.791795617472274,0.7918938867296265,0.7855403707859507,0.7263504140183763,0.05918995676757449,0.7500263967254062,10.0,32.0
A05+C05,ERM 10 layers 64 nodes,2,0.7047445074313401,0.7010718247803794,0.7820084302390271,0.7987417131885353,0.7934913080272954,0.7877498691331613,0.734852681800085,0.05289718733307628,0.7560115567333154,10.0,64.0
A05+C05,ERM 20 layers 128 nodes,2,0.7093868744046008,0.6966646374275978,0.7815629302011382,0.7968759988091513,0.7927086719854535,0.7871358010932957,0.7343091702137834,0.05282663087951247,0.7554398225655883,20.0,128.0
A05+C05,ERM 20 layers 32 nodes,2,0.6740270298335053,0.70073586924109,0.779421402843299,0.791373011169986,0.7914119026971658,0.7854166527702324,0.7220453034148604,0.06337134935537199,0.7473938431570092,20.0,32.0
A05+C05,ERM 20 layers 64 nodes,2,0.698654727082425,0.698316638605153,0.7796850267187287,0.7945485017839042,0.7929581415981098,0.7863215841584192,0.730506622490494,0.0558149616679253,0.7528326071576641,20.0,64.0
A05+C05,ERM 5 layers 128 nodes,2,0.7013945636218735,0.69514434763931,0.7774311317916454,0.7949960952519742,0.7915304625607898,0.7844807971762177,0.7305116688377192,0.05396912833849845,0.7520993201731186,5.0,128.0
A05+C05,ERM 5 layers 32 nodes,2,0.6861682137575366,0.7024051053039879,0.7799760084823913,0.791600484298668,0.7936258870848484,0.7868009477836198,0.7267246011200641,0.06007634666355566,0.7507551397854865,5.0,32.0
A05+C05,ERM 5 layers 64 nodes,2,0.7069341963737733,0.696985709764607,0.7808331659460928,0.7955099652087994,0.7925669470519503,0.7867000564990215,0.7331432904490599,0.05355676604996164,0.7545659968690446,5.0,64.0
A07+B03,ERM 10 layers 128 nodes,2,0.7818466726869578,0.7591926624441737,0.7562017119670947,0.8436704991501653,0.7412137263073617,0.8014315807971695,0.7597540369871381,0.041677543810031484,0.7764250545111506,10.0,128.0
A07+B03,ERM 10 layers 32 nodes,2,0.7828690170772381,0.7588149459646071,0.7561577207376959,0.842229299387198,0.7448206975406093,0.8005221226759026,0.7612824784518477,0.03923964422405483,0.7769783361414697,10.0,32.0
A07+B03,ERM 10 layers 64 nodes,2,0.7832477702019002,0.7599915053780231,0.7555789995722926,0.8431142956984855,0.7454731345661921,0.8015529005382543,0.761433301446795,0.04011959909145937,0.7774811410833787,10.0,64.0
A07+B03,ERM 20 layers 128 nodes,2,0.782811401116027,0.7587379421497392,0.7522453662653392,0.8415002646435632,0.7414244874857787,0.8001191033966512,0.7588270849557149,0.04129201844093616,0.7753438923320894,20.0,128.0
A07+B03,ERM 20 layers 32 nodes,2,0.7829373222412566,0.7584058730761424,0.7556691117457612,0.8422736226832791,0.7473662158789844,0.8003397478797108,0.7619908832886674,0.03834886459104336,0.7773304291250848,20.0,32.0
A07+B03,ERM 20 layers 64 nodes,2,0.7827007141174452,0.759695387540231,0.7550907312366746,0.8426354917244167,0.7424293443685317,0.8011654396323238,0.7600735965742171,0.04109184305810663,0.7765103337974598,20.0,64.0
A07+B03,ERM 5 layers 128 nodes,2,0.7814636286410191,0.7582636048197506,0.7546675527652127,0.8421724422384391,0.7395812586561832,0.8002180235290949,0.7585708133541382,0.04164721017495661,0.775229697424121,5.0,128.0
A07+B03,ERM 5 layers 32 nodes,2,0.7834058222209365,0.7611888376744578,0.7559537876914157,0.8429100937689091,0.7430557468912429,0.8020494657216833,0.7608051189345317,0.04124434678715174,0.7773028576493923,5.0,32.0
A07+B03,ERM 5 layers 64 nodes,2,0.7823754733057943,0.7587447610785218,0.755826482710295,0.8421631782924436,0.7425475018851284,0.8004539696854828,0.7602498193004059,0.04020415038507684,0.7763314794544366,5.0,64.0
A07+B03+C02,ERM 10 layers 128 nodes,3,0.8262328569795082,0.7638362843940788,0.7565246002385868,0.842016223891676,0.744122724227637,0.8106951217550877,0.750323662233112,0.06037145952197574,0.7865465379462975,10.0,128.0
A07+B03+C02,ERM 10 layers 32 nodes,3,0.8250450376681497,0.7608360718857148,0.7570460249721176,0.8403358869747422,0.748979104649209,0.8087389988428688,0.7530125648106634,0.05572643403220554,0.7864484252299866,10.0,32.0
A07+B03+C02,ERM 10 layers 64 nodes,3,0.8257444376021607,0.7637841893777046,0.7569865056965088,0.8416537929685731,0.7491386846355331,0.8103941399828128,0.753062595166021,0.05733154481679185,0.787461522056096,10.0,64.0
A07+B03+C02,ERM 20 layers 128 nodes,3,0.8245385333082602,0.7614431431586588,0.7553414101720664,0.8411142289927683,0.7462830266075703,0.8090319684865624,0.7508122183898183,0.05821975009674414,0.7857440684478648,20.0,128.0
A07+B03+C02,ERM 20 layers 32 nodes,3,0.8246066722943303,0.7602927321758609,0.7560490440203445,0.8402399444447498,0.7478296907435464,0.808379782971647,0.7519393673819454,0.05644041558970152,0.7858036167357664,20.0,32.0
A07+B03+C02,ERM 20 layers 64 nodes,3,0.8255947172977296,0.7638128932404441,0.7579050695247682,0.8407163483395298,0.7484197856632334,0.8100413196259012,0.7531624275940009,0.056878892031900365,0.7872897628131411,20.0,64.0
